iter	Passed	Remaining
0	1	101
1	1	90
2	2	84
3	3	77
4	4	77
5	4	75
6	5	74
7	6	73
8	7	72
9	8	72
10	8	72
11	9	71
12	10	69
13	11	68
14	11	67
15	12	66
16	13	65
17	14	64
18	15	63
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	59
25	20	58
26	21	57
27	22	58
28	23	57
29	24	58
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	48
40	33	48
41	33	46
42	34	45
43	35	45
44	36	44
45	36	43
46	37	42
47	38	41
48	39	40
49	40	40
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	30
61	48	29
62	49	29
63	50	28
64	51	27
65	52	26
66	53	26
67	53	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	59	19
75	60	18
76	60	18
77	61	17
78	62	16
79	63	15
80	64	15
81	64	14
82	65	13
83	66	12
84	67	11
85	67	11
86	68	10
87	69	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	74	4
94	74	3
95	75	3
96	76	2
97	77	1
98	77	0
99	78	0
